Genus,Aero,SporeForming
Rickettsiella,Aerobic,No
Diplorickettsia,Aerobic,No
Legionella,Aerobic,No
Candidatus Ovatusbacter,Unknown,Unknown
C1-B045,Unknown,Unknown
Microbulbifer,Aerobic,No
Marinobacter,Aerobic,No
SAR92 clade,Aerobic,No
Pseudomonas,Aerobic,No
Halovibrio,Aerobic,No
Halomonas,Aerobic,No
Salinicola,Aerobic,No
Candidatus Portiera,Unknown,Unknown
Carnimonas,Aerobic,No
Zymobacter,Aerobic,No
Kushneria,Aerobic,No
Marinimicrobium,Aerobic,No
Cellvibrio,Aerobic,No
Marinagarivorans,Aerobic,No
Woeseia,Aerobic,No
Sinobacterium,Aerobic,No
Nitrosococcus,Aerobic,No
Thiodictyon,Aerobic,No
Arhodomonas,Aerobic,No
JTB255 marine benthic group,Unknown,Unknown
Ignatzschineria,Aerobic,No
Wohlfahrtiimonas,Aerobic,No
Koukoulia,Aerobic,No
Thiothrix,Aerobic,No
Methylophaga,Aerobic,No
Steroidobacter,Aerobic,No
Uncultured sludge bacterium,Variable,Variable
Acidibacter,Aerobic,No
Suttonella,Aerobic,No
SZB85,Unknown,Unknown
Candidatus Tenderia,Unknown,Unknown
3PJM14,Unknown,Unknown
Alishewanella,Aerobic,No
Rheinheimera,Aerobic,No
BIyi10,Unknown,Unknown
OM60(NOR5) clade,Unknown,Unknown
BD1-7 clade,Unknown,Unknown
Alkanindiges,Aerobic,No
Acinetobacter,Aerobic,No
Moraxella,Aerobic,No
Enhydrobacter,Aerobic,No
Psychrobacter,Aerobic,No
endosymbionts6,Unknown,Unknown
Candidatus Moranella,Unknown,Unknown
Candidatus Rosenkranzia,Unknown,Unknown
Candidatus Blochmannia,Unknown,Unknown
Shewanella,Facultative Anaerobic,No
Pseudoalteromonas,Aerobic,No
Idiomarina,Aerobic,No
Enterovibrio,Facultative Anaerobic,No
Photobacterium,Facultative Anaerobic,No
Vibrio,Facultative Anaerobic,No
Oceanimonas,Aerobic,No
Oceanisphaera,Aerobic,No
Aeromonas,Facultative Anaerobic,No
Glaciecola,Aerobic,No
Alteromonas,Aerobic,No
Sodalis,Facultative Anaerobic,No
Kosakonia,Facultative Anaerobic,No
Serratia,Facultative Anaerobic,No
Mangrovibacter,Aerobic,No
Escherichia-Shigella,Facultative Anaerobic,No
Pantoea,Facultative Anaerobic,No
Trabulsiella,Facultative Anaerobic,No
Orbus,Aerobic,No
Gilliamella,Aerobic,No
Arsenophonus,Facultative Anaerobic,No
Haemophilus,Facultative Anaerobic,No
Actinobacillus,Facultative Anaerobic,No
Chelonobacter,Aerobic,No
Providencia,Facultative Anaerobic,No
Proteus,Facultative Anaerobic,No
Morganella,Facultative Anaerobic,No
Xenorhabdus,Facultative Anaerobic,No
Pectobacterium,Facultative Anaerobic,No
Pragia,Facultative Anaerobic,No
Psychromonas,Aerobic,No
C39,Unknown,Unknown
Achromobacter,Aerobic,No
Verticia,Aerobic,No
GKS98 freshwater group,Unknown,Unknown
Candidatus Kinetoplastibacterium,Unknown,Unknown
Bordetella,Aerobic,No
Eoetvoesia,Aerobic,No
Castellaniella,Aerobic,No
Alcaligenes,Aerobic,No
Parapusillimonas,Aerobic,No
Pusillimonas,Aerobic,No
Oligella,Aerobic,No
Paenalcaligenes,Aerobic,No
Aquitalea,Aerobic,No
Candidatus Chloroploca,Anaerobic,No
Oscillochloris,Anaerobic,No
Ralstonia,Aerobic,No
Oxalobacter,Anaerobic,No
Limnobacter,Aerobic,No
Parasutterella,Aerobic,No
Sutterella,Anaerobic,No
Lautropia,Aerobic,No
Vitreoscilla,Aerobic,No
Eikenella,Facultative Anaerobic,No
Uruburuella,Aerobic,No
Snodgrassella,Unknown,Unknown
Chitinimonas,Aerobic,No
Uncultured Alcaligenaceae bacterium,Aerobic,No
Nitrosomonas,Aerobic,No
Uncultured Rhodocyclaceae bacterium,Aerobic,No
MND1,Unknown,Unknown
IS-44,Unknown,Unknown
Burkholderia-Caballeronia-Paraburkholderia,Aerobic,No
Pandoraea,Aerobic,No
mle1-7,Unknown,Unknown
Tepidimonas,Aerobic,No
Alicycliphilus,Aerobic,No
Comamonas,Aerobic,No
Inhella,Aerobic,No
Thauera,Anaerobic,No
Uliginosibacterium,Aerobic,No
Methyloversatilis,Aerobic,No
Dechloromonas,Anaerobic,No
Azoarcus,Anaerobic,No
Azospira,Anaerobic,No
Cupriavidus,Aerobic,No
Massilia,Aerobic,No
Hydrogenophaga,Aerobic,No
Rhizobacter,Aerobic,No
Aquabacterium,Aerobic,No
Ramlibacter,Aerobic,No
Curvibacter,Aerobic,No
Variovorax,Aerobic,No
Caenimonas,Aerobic,No
Delftia,Aerobic,No
Lampropedia,Aerobic,No
Ellin6067,Unknown,Unknown
Luteibacter,Aerobic,No
Tahibacter,Aerobic,No
Dyella,Aerobic,No
Arenimonas,Aerobic,No
Rhodanobacter,Aerobic,No
Rudaea,Aerobic,No
Dokdonella,Aerobic,No
Mizugakiibacter,Aerobic,No
Chujaibacter,Aerobic,No
Pseudofulvimonas,Aerobic,No
Luteimonas,Aerobic,No
Thermomonas,Aerobic,No
Xylella,Aerobic,No
Pseudoxanthomonas,Aerobic,No
Stenotrophomonas,Aerobic,No
Xanthomonas,Aerobic,No
Lysobacter,Aerobic,No
Vulcaniibacterium,Aerobic,No
Herpetosiphon,Anaerobic,No
Lamprocystis,Anaerobic,No
Allochromatium,Anaerobic,No
Sulfurovum,Aerobic,No
Bilophila,Anaerobic,No
Desulfovibrio,Anaerobic,No
Phenylobacterium,Aerobic,No
Brevundimonas,Aerobic,No
Caulobacter,Aerobic,No
PMMR1,Unknown,Unknown
Asticcacaulis,Aerobic,No
Tagaea,Aerobic,No
Candidatus Jidaibacter,Unknown,Unknown
MD3-55,Unknown,Unknown
Bdellovibrio,Aerobic,No
Syntrophobacter,Anaerobic,No
Uncultured Archangiaceae bacterium,Aerobic,No
Cystobacter,Aerobic,No
Myxococcus,Aerobic,No
Vulgatibacter,Aerobic,No
Anaeromyxobacter,Aerobic,No
Uncultured delta proteobacterium,Variable,Variable
Sandaracinus,Aerobic,No
Uncultured bacterium mle1-27,Unknown,Unknown
Pajaroellobacter,Aerobic,No
Minicystis,Aerobic,No
Polyangium,Aerobic,No
Sorangium,Aerobic,No
Chondromyces,Aerobic,No
Phaselicystis,Aerobic,No
Nannocystis,Aerobic,No
Pseudenhygromyxa,Aerobic,No
Haliangium,Aerobic,No
Uncultured Myxococcales bacterium,Aerobic,No
Uncultured Epsilonproteobacteria bacterium,Facultative Anaerobic,No
Silvanigrella,Aerobic,No
Peredibacter,Aerobic,No
Halobacteriovorax,Aerobic,No
Halodesulfovibrio,Anaerobic,No
Sva0081 sediment group,Unknown,Unknown
Desulfatiferula,Anaerobic,No
Uncultured Syntrophobacterales bacterium,Anaerobic,No
Wolbachia,Facultative Anaerobic,No
Uncultured Acetobacteraceae bacterium,Aerobic,No
AT-s3-44,Unknown,Unknown
Ferrovibrio,Aerobic,No
Constrictibacter,Aerobic,No
Skermanella,Aerobic,No
Rickettsia,Facultative Anaerobic,No
Defluviicoccus,Aerobic,No
Limibacillus,Aerobic,Yes
Pelagibius,Aerobic,No
Candidatus Bealeia,Unknown,Unknown
Candidatus Paracaedibacter,Unknown,Unknown
Candidatus Finniella,Unknown,Unknown
Candidatus Alysiosphaera,Unknown,Unknown
Geminicoccus,Aerobic,No
Reyranella,Aerobic,No
Uncultured Stella sp.,Unknown,Unknown
Dongia,Aerobic,No
Belnapia,Aerobic,No
Muricoccus,Aerobic,No
Roseomonas,Aerobic,No
Rubritepida,Aerobic,No
Rhodovarius,Aerobic,No
Craurococcus,Aerobic,No
Rhodovastum,Aerobic,No
Endobacter,Aerobic,No
Bartonella,Facultative Anaerobic,No
Blattella germanica (German cockroach),Not applicable,Not applicable
Saccharibacter,Aerobic,No
Gluconobacter,Aerobic,No
Tanticharoenia,Aerobic,No
Swaminathania,Aerobic,No
Commensalibacter,Aerobic,No
Asaia,Aerobic,No
Acetobacter,Aerobic,No
Hyaloperonospora arabidopsidis,Not applicable,Not applicable
Oligoflexus,Anaerobic,No
MN 122.2a,Unknown,Unknown
Sphingosinicella,Aerobic,No
Ellin6055,Unknown,Unknown
Polymorphobacter,Aerobic,No
Sphingoaurantiacus,Aerobic,No
Sphingomonas,Aerobic,No
Hephaestia,Aerobic,No
Sphingobium,Aerobic,No
Sandaracinobacter,Aerobic,No
Altererythrobacter,Aerobic,No
Erythrobacter,Aerobic,No
Erythrobacter sp. HME6855,Aerobic,No
Qipengyuania,Aerobic,No
Sphingorhabdus,Aerobic,No
Sphingopyxis,Aerobic,No
Croceicoccus,Aerobic,No
Novosphingobium,Aerobic,No
Blastomonas,Aerobic,No
Parasphingopyxis,Aerobic,No
Rhizorhapis,Aerobic,No
Uncultured Phyllobacteriaceae bacterium,Aerobic,No
Amphiplicatus,Aerobic,No
Pararhodospirillum,Anaerobic,No
Candidatus Megaira,Unknown,Unknown
Uncultured Rhodospirillales bacterium,Anaerobic,No
Hellea,Aerobic,No
Hirschia,Aerobic,No
Chthonobacter,Aerobic,No
Methyloligella,Aerobic,No
Methyloceanibacter,Aerobic,No
Agaricicola,Aerobic,No
Acuticoccus,Aerobic,No
Afifella,Aerobic,No
Uncultured Rhizobiales bacterium,Variable,Variable
alphaI cluster,Unknown,Unknown
Bosea,Aerobic,No
Labrys,Aerobic,No
SWB02,Unknown,Unknown
bacterium enrichment culture clone Anammox_49,Anaerobic,No
Uncultured Xanthobacteraceae bacterium,Aerobic,No
Uncultured Rhodospirillaceae bacterium,Anaerobic,No
Paenochrobactrum,Aerobic,No
Pseudoxanthobacter,Aerobic,No
Bauldia,Aerobic,No
Kaistia,Aerobic,No
Uncultured Bradyrhizobiaceae bacterium,Variable,Variable
Rhodoplanes,Aerobic,No
Pseudorhodoplanes,Aerobic,No
Pseudolabrys,Aerobic,No
Variibacter,Aerobic,No
Starkeya,Aerobic,No
Ancylobacter,Aerobic,No
Xanthobacter,Aerobic,No
Rhodoligotrophos,Aerobic,No
Phreatobacter,Aerobic,No
Rhodomicrobium,Facultative Anaerobic,No
Devosia,Aerobic,No
Pelagibacterium,Aerobic,No
Nordella,Aerobic,No
Hyphomicrobium,Aerobic,No
Pedomicrobium,Aerobic,No
Aliihoeflea,Aerobic,No
Pleomorphomonas,Aerobic,No
Stappia,Aerobic,No
Roseobacter clade CHAB-I-5 lineage,Aerobic,No
Actibacterium,Aerobic,No
Palleronia,Aerobic,No
Phyllobacterium,Aerobic,No
Thioclava,Aerobic,No
Jannaschia,Aerobic,No
Rubellimicrobium,Aerobic,No
Hoeflea,Aerobic,No
Tepidamorphus,Aerobic,No
Pseudovibrio,Aerobic,No
Aminobacter,Aerobic,No
Nitratireductor,Aerobic,No
Pseudaminobacter,Aerobic,No
Pseudohoeflea,Aerobic,No
Aquamicrobium,Aerobic,No
Euryhalocaulis,Aerobic,No
Tranquillimonas,Aerobic,No
Tropicimonas,Aerobic,No
Planktomarina,Aerobic,No
Celeribacter,Aerobic,No
Tabrizicola,Aerobic,No
Ketogulonicigenium,Aerobic,No
Gemmobacter,Aerobic,No
Blastochloris,Anaerobic,No
Rhodobacter,Facultative Anaerobic,No
Paracoccus,Aerobic,No
Roseovarius,Aerobic,No
Yangia,Aerobic,No
Sediminimonas,Aerobic,No
Defluviimonas,Aerobic,No
Amaricoccus,Aerobic,No
Pontibaca,Aerobic,No
Shinella,Aerobic,No
Martelella,Aerobic,No
Oceanicella,Aerobic,No
Mycoplana,Aerobic,No
Ensifer,Aerobic,No
Ochrobactrum,Aerobic,No
Paenirhodobacter,Anaerobic,No
Mesorhizobium,Aerobic,No
Fulvimarina,Aerobic,No
Pseudochrobactrum,Aerobic,No
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Aerobic,No
1174-901-12,Unknown,Unknown
Neo-b11,Unknown,Unknown
Psychroglaciecola,Aerobic,No
Microvirga,Aerobic,No
Methylobacterium,Aerobic,No
Camelimonas,Aerobic,No
Pseudochelatococcus,Aerobic,No
Chelatococcus,Aerobic,No
FFCH5858,Unknown,Unknown
Afipia,Aerobic,No
Rhodopseudomonas,Facultative Anaerobic,No
Bradyrhizobium,Aerobic,No
Methylovirgula,Aerobic,No
Methylocystis,Aerobic,No
Roseiarcus,Anaerobic,No
Rhodoblastus,Anaerobic,No
Hansschlegelia,Aerobic,No
Methylopila,Aerobic,No
Labrenzia,Aerobic,No
Uncultured alpha proteobacterium,Variable,Variable
Chelativorans,Aerobic,No
Aureimonas,Aerobic,No
