Genus,Gemini,GeminiCL,GeminiAura
Parafilimonas,Anaerobic,-,Wrong
Parapedobacter,Aerotolerant,-,-
Parapusillimonas,Aerotolerant,-,-
Pararhodospirillum,Anaerobic,-,-
Parasphingopyxis,Aerotolerant,-,-
Parasutterella,Aerotolerant,-,Wrong
Parviterribacter,Aerotolerant,-,-
Pasteuria,Aerotolerant,-,-
Patulibacter,Aerotolerant,-,-
Pectobacterium,Aerotolerant,-,-
Pediococcus,Aerotolerant,-,-
Pedobacter,Aerotolerant,-,Correct
Pedomicrobium,Aerotolerant,-,Correct
Pelagibacterium,Aerotolerant,-,-
Pelagibius,Aerotolerant,-,-
Peptoclostridium,Anaerobic,-,-
Peptococcus,Anaerobic,-,Correct
Peptoniphilus,Anaerobic,-,-
Peredibacter,Aerotolerant,-,-
Persicitalea,Aerotolerant,-,-
Phascolarctobacterium,Anaerobic,Correct,-
Phaselicystis,Aerotolerant,-,Correct
Phenylobacterium,Aerotolerant,-,Correct
Phormidium IAM M-71,Aerotolerant,-,-
Photobacterium,Aerotolerant,-,-
Phreatobacter,Aerotolerant,-,-
Phycicoccus,Aerotolerant,-,-
Phyllobacterium,Aerotolerant,-,Correct
Phytohabitans,Aerotolerant,-,-
Pir3 lineage,Aerotolerant,-,-
Pir4 lineage,Aerotolerant,Correct,-
Pirellula,Aerotolerant,Correct,Correct
Planctomicrobium,Aerotolerant,-,-
Planctomycetaceae bacterium Bac131,Unknown,-,-
Planctomycetales bacterium Ellin6207,Unknown,-,-
Planctopirus,Aerotolerant,-,-
Planktomarina,Aerotolerant,-,-
Pleomorphomonas,Aerotolerant,-,-
Pleurocapsa PCC-7319,Aerotolerant,-,-
Pleurocapsa PCC-7327,Aerotolerant,-,-
PMMR1,Unknown,-,-
Polyangium,Aerotolerant,-,-
Polymorphobacter,Aerotolerant,-,-
Pontibaca,Aerotolerant,-,-
Porphyromonas,Anaerobic,-,-
Portibacter,Aerotolerant,-,-
Pragia,Aerotolerant,-,-
Prauserella,Aerotolerant,-,-
Prevotellaceae UCG-001,Anaerobic,-,-
Pricia,Aerotolerant,-,-
Promicromonospora,Aerotolerant,-,-
Propionicicella,Aerotolerant,-,-
Propioniciclava,Aerotolerant,-,-
Prosthecobacter,Aerotolerant,-,-
Proteiniborus,Anaerobic,-,-
Proteiniphilum,Anaerobic,-,-
Proteus,Aerotolerant,-,-
Providencia,Aerotolerant,-,Correct
Pseudactinotalea,Aerotolerant,-,-
Pseudaminobacter,Aerotolerant,-,Correct
Pseudenhygromyxa,Aerotolerant,-,-
Pseudoalteromonas,Aerotolerant,-,-
Pseudochelatococcus,Aerotolerant,-,-
Pseudochrobactrum,Aerotolerant,-,-
Pseudoclavibacter,Aerotolerant,-,-
Pseudoflavitalea,Aerotolerant,-,-
Pseudofulvimonas,Aerotolerant,-,-
Pseudogracilibacillus,Aerotolerant,-,-
Pseudohoeflea,Aerotolerant,-,-
Pseudokineococcus,Aerotolerant,Correct,-
Pseudolabrys,Aerotolerant,-,Correct
Pseudomonas,Aerotolerant,-,Correct
Pseudonocardia,Aerotolerant,-,Correct
Pseudopropionibacterium,Aerotolerant,-,-
Pseudorhodoplanes,Aerotolerant,-,Correct
Pseudovibrio,Aerotolerant,-,-
Pseudoxanthobacter,Aerotolerant,-,-
Pseudoxanthomonas,Aerotolerant,-,Correct
Psychrobacter,Aerotolerant,-,-
Psychroglaciecola,Aerotolerant,-,-
Psychromonas,Aerotolerant,-,-
Pusillimonas,Aerotolerant,-,-
Pygmaiobacter,Anaerobic,-,-
Pyramidobacter,Unknown,-,-
Qipengyuania,Aerotolerant,-,-
Quadrisphaera,Aerotolerant,Correct,-
Ralstonia,Aerotolerant,-,-
Ramlibacter,Aerotolerant,-,-
Raoultibacter,Aerotolerant,-,-
Rathayibacter,Aerotolerant,-,-
RB41,Unknown,-,-
Reyranella,Aerotolerant,-,Correct
Rheinheimera,Aerotolerant,-,-
Rhizobacter,Aerotolerant,-,Correct
Rhizocola,Aerotolerant,-,-
Rhizorhapis,Aerotolerant,-,-
Rhodanobacter,Aerotolerant,-,Correct
Rhodobacter,Aerotolerant,-,-
Rhodoblastus,Anaerobic,-,-
Rhodococcus,Aerotolerant,Correct,-
Rhodocytophaga,Aerotolerant,-,-
Rhodoligotrophos,Aerotolerant,-,-
Rhodomicrobium,Aerotolerant,-,-
Rhodopirellula,Aerotolerant,-,-
Rhodoplanes,Aerotolerant,-,Correct
Rhodopseudomonas,Aerotolerant,-,-
Rhodovarius,Aerotolerant,-,-
Rhodovastum,Aerotolerant,-,-
Rickettsia,Aerotolerant,-,-
Rickettsiella,Aerotolerant,-,-
Rikenella,Anaerobic,Wrong,Correct
Rikenellaceae RC9 gut group,Anaerobic,-,-
Robertkochia,Aerotolerant,-,-
Robiginitalea,Aerotolerant,-,-
Robinsoniella,Anaerobic,Correct,-
Romboutsia,Anaerobic,Correct,Correct
Roseburia,Anaerobic,-,Correct
Roseiarcus,Anaerobic,-,-
Roseibacillus,Aerotolerant,-,-
Roseiflexus,Anaerobic,-,-
Roseimaritima,Aerotolerant,-,-
Roseimicrobium,Aerotolerant,-,-
Roseobacter clade CHAB-I-5 lineage,Aerotolerant,-,-
Roseomonas,Aerotolerant,-,-
Roseovarius,Aerotolerant,-,-
Rothia,Aerotolerant,Correct,-
Ruania,Aerotolerant,-,-
Rubellimicrobium,Aerotolerant,-,-
Rubinisphaera,Aerotolerant,-,-
Rubripirellula,Aerotolerant,-,-
Rubritepida,Aerotolerant,-,-
Rubrivirga,Anaerobic,-,-
Rubrobacter,Aerotolerant,-,-
Rudaea,Aerotolerant,-,-
Ruminiclostridium,Anaerobic,-,-
Ruminiclostridium 1,Anaerobic,Correct,-
Ruminiclostridium 5,Anaerobic,Correct,-
Ruminiclostridium 9,Anaerobic,-,-
Ruminococcaceae NK4A214 group,Anaerobic,-,-
Ruminococcaceae UCG-005,Anaerobic,-,-
Ruminococcaceae UCG-008,Anaerobic,-,-
Ruminococcaceae UCG-009,Anaerobic,-,-
Ruminococcaceae UCG-010,Anaerobic,-,-
Ruminococcaceae UCG-012,Anaerobic,-,-
Ruminococcaceae UCG-013,Anaerobic,-,-
Ruminococcaceae UCG-014,Anaerobic,-,-
Ruminococcaceae V9D2013 group,Anaerobic,-,-
Ruminococcus 1,Anaerobic,-,-
Rummeliibacillus,Aerotolerant,-,-
Saccharibacillus,Aerotolerant,-,Correct
Saccharibacter,Aerotolerant,-,-
Saccharopolyspora,Aerotolerant,-,-
Saccharothrix,Aerotolerant,-,-
Saccharum hybrid cultivar,Unassigned,-,-
Salana,Aerotolerant,-,-
Salimicrobium,Aerotolerant,-,-
Salinicoccus,Aerotolerant,-,-
Salinicola,Aerotolerant,-,-
Salinisphaera,Aerotolerant,-,-
Salipaludibacillus,Aerotolerant,-,-
Sandaracinobacter,Aerotolerant,-,-
Sandaracinus,Aerotolerant,-,-
Sanguibacter,Aerotolerant,-,-
Sanguibacteroides,Anaerobic,-,-
SAR92 clade,Aerotolerant,-,-
Sarcina,Aerotolerant,-,-
Savagea,Aerotolerant,-,-
SCGC AAA164-E04,Unknown,-,-
Schlesneria,Aerotolerant,-,Correct
Sciscionella,Aerotolerant,-,-
Scytonema PCC-7110,Aerotolerant,-,-
Scytonema UTEX 2349,Aerotolerant,-,-
Scytonema VB-61278,Aerotolerant,-,-
Sebaldella,Anaerobic,-,-
Sedimentibacter,Anaerobic,-,-
Sediminibacterium,Aerotolerant,-,-
Sediminimonas,Aerotolerant,-,-
Sediminivirga,Aerotolerant,-,-
Segetibacter,Aerotolerant,-,-
Segniliparus,Aerotolerant,-,-
Sellimonas,Anaerobic,-,-
Serinibacter,Aerotolerant,-,-
Serratia,Aerotolerant,-,-
SH-PL14,Unknown,-,-
Shewanella,Aerotolerant,-,-
Shinella,Aerotolerant,-,-
Silvanigrella,Aerotolerant,-,-
Singulisphaera,Aerotolerant,Correct,Correct
Sinobaca,Aerotolerant,-,-
Sinobacterium,Aerotolerant,-,-
Sinomicrobium,Aerotolerant,-,-
Sinomonas,Aerotolerant,-,-
Siphonobacter,Aerotolerant,-,-
Skermanella,Aerotolerant,-,-
Skermania,Aerotolerant,-,-
Slackia,Aerotolerant,-,-
SM1A02,Unknown,-,-
Smaragdicoccus,Aerotolerant,-,-
Snodgrassella,Unknown,-,-
Sodalis,Aerotolerant,-,-
soil bacterium WF55,Unassigned,-,-
Solibacillus,Aerotolerant,-,Correct
Solirubrobacter,Aerotolerant,-,Correct
Solitalea,Aerotolerant,-,Correct
Sorangium,Aerotolerant,-,-
Sphaerisporangium,Aerotolerant,-,-
Sphaerobacter,Aerotolerant,-,-
Sphingoaurantiacus,Aerotolerant,-,-
Sphingobacterium,Aerotolerant,-,-
Sphingobium,Aerotolerant,-,Correct
Sphingomonas,Aerotolerant,-,-
Sphingopyxis,Aerotolerant,-,-
Sphingorhabdus,Aerotolerant,-,-
Sphingosinicella,Aerotolerant,-,-
Spirochaeta 2,Anaerobic,-,-
Spiroplasma,Aerotolerant,-,-
Spirosoma,Aerotolerant,-,-
Sporacetigenium,Anaerobic,-,-
Sporichthya,Aerotolerant,-,-
Sporocytophaga,Aerotolerant,-,Correct
Sporomusa,Anaerobic,-,-
Sporosarcina,Aerotolerant,-,Correct
Stackebrandtia,Aerotolerant,-,-
Stanieria PCC-7437,Aerotolerant,-,-
Staphylococcus,Aerotolerant,Correct,Correct
Stappia,Aerotolerant,-,-
Starkeya,Aerotolerant,-,-
Stenotrophobacter,Aerotolerant,-,-
Stenotrophomonas,Aerotolerant,-,-
Steroidobacter,Aerotolerant,-,Correct
Streptococcus,Aerotolerant,-,Correct
Streptomyces,Aerotolerant,Correct,Correct
Streptosporangium,Aerotolerant,-,-
Subdoligranulum,Anaerobic,-,-
Subgroup 10,Unknown,-,-
Sulfurovum,Aerotolerant,-,-
Sutterella,Anaerobic,-,-
Suttonella,Aerotolerant,-,-
Sva0081 sediment group,Unknown,-,-
Sva0996 marine group,Unknown,-,-
Swaminathania,Aerotolerant,-,-
SWB02,Unknown,-,-
Symplocastrum CPER-KK1,Aerotolerant,-,-
Synechococcus CC9902,Aerotolerant,-,-
Synechococcus IR11,Aerotolerant,-,-
Synechococcus PCC-7902,Aerotolerant,-,-
Synechocystis BDHKU-20401,Aerotolerant,-,-
Syntrophobacter,Anaerobic,-,-
SZB85,Unknown,-,-
Tabrizicola,Aerotolerant,-,-
Tagaea,Aerotolerant,-,-
Tahibacter,Aerotolerant,-,-
Taibaiella,Aerotolerant,-,-
Tanticharoenia,Aerotolerant,-,-
Telmatocola,Aerotolerant,-,-
Tepidamorphus,Aerotolerant,-,-
Tepidimonas,Aerotolerant,-,-
Tepidisphaera,Aerotolerant,-,-
Termite planctomycete cluster,Unknown,-,-
Termite Treponema cluster,Anaerobic,-,-
Terribacillus,Aerotolerant,-,-
Terrimicrobium,Aerotolerant,-,-
Terrimonas,Aerotolerant,-,Correct
Terrisporobacter,Anaerobic,Correct,-
Tessaracoccus,Aerotolerant,-,Correct
Tetrasphaera,Aerotolerant,-,-
Thauera,Anaerobic,-,-
Thermicanus,Aerotolerant,-,-
Thermobacillus,Aerotolerant,-,-
Thermocatellispora,Aerotolerant,-,-
Thermomonas,Aerotolerant,-,-
Thermosporothrix,Aerotolerant,-,-
Thermus,Aerotolerant,-,-
Thiobaca,Aerotolerant,-,-
Thioclava,Aerotolerant,-,-
Thiodictyon,Aerotolerant,-,-
Thiothrix,Aerotolerant,-,-
Timonella,Aerotolerant,-,-
Tissierella,Anaerobic,-,-
TM7 phylum sp. oral clone FR058,Unknown,-,-
Tolypothrix PCC-7601,Aerotolerant,-,-
Tomitella,Aerotolerant,-,-
Trabulsiella,Aerotolerant,-,-
Tranquillimonas,Aerotolerant,-,-
Treponema,Anaerobic,-,Wrong
Tropicimonas,Aerotolerant,-,-
Truepera,Aerotolerant,-,-
Tsukamurella,Aerotolerant,Correct,-
Tumebacillus,Aerotolerant,-,-
Tunicatimonas,Aerotolerant,-,-
Turicibacter,Aerotolerant,-,-
Tyzzerella,Anaerobic,Wrong,Correct
Tyzzerella 3,Anaerobic,-,-
Tyzzerella 4,Anaerobic,-,-
UBA1819,Anaerobic,-,-
Uliginosibacterium,Aerotolerant,-,-
uncultured,Unknown,-,-
uncultured Acetobacteraceae bacterium,Aerotolerant,-,-
uncultured Acidimicrobidae bacterium,Aerotolerant,-,-
uncultured Acidobacteria bacterium,Unknown,-,-
uncultured Acidobacteriales bacterium,Unknown,-,-
uncultured Acidobacterium sp.,Unknown,-,-
uncultured actinobacterium,Unknown,-,-
uncultured Actinomycetales bacterium,Unknown,-,-
uncultured Alcaligenaceae bacterium,Aerotolerant,-,-
uncultured alpha proteobacterium,Unknown,-,-
uncultured anaerobic ammonium-oxidizing bacterium,Anaerobic,-,-
uncultured Anaerolineaceae bacterium,Anaerobic,-,-
uncultured Anaerolineae bacterium,Anaerobic,-,-
uncultured Anaeromyxobacter sp.,Aerotolerant,-,-
uncultured Archangiaceae bacterium,Aerotolerant,-,-
uncultured Armatimonadetes bacterium,Aerotolerant,-,-
uncultured bacterium,Unknown,-,-
uncultured bacterium 259,Unknown,-,-
uncultured bacterium GC1,Unknown,-,-
uncultured bacterium gp6,Unknown,-,-
uncultured bacterium mle1-12,Unknown,-,-
uncultured bacterium mle1-27,Unknown,-,-
uncultured bacterium SBR1071,Unknown,-,-
uncultured bacterium SBR2013,Unknown,-,-
uncultured bacterium SBR2096,Unknown,-,-
uncultured bacterium SJP-3,Unknown,-,-
uncultured Bacteroidales bacterium,Anaerobic,-,-
uncultured Bacteroidetes bacterium,Anaerobic,-,-
uncultured beta proteobacterium,Unknown,-,-
uncultured Bradyrhizobiaceae bacterium,Unknown,-,-
uncultured Caldilineaceae bacterium,Unknown,-,-
uncultured Caldilineae bacterium,Unknown,-,-
uncultured candidate division SAM bacterium,Unknown,-,-
uncultured candidate division SBR1093 bacterium,Unknown,-,-
uncultured candidate division SPAM bacterium,Unknown,-,-
uncultured candidate division SR1 bacterium,Unknown,-,-
uncultured candidate division WS5 bacterium,Unknown,-,-
uncultured candidate division WS6 bacterium,Unknown,-,-
uncultured Candidatus Saccharibacteria bacterium,Unknown,-,-
uncultured Carnobacterium sp.,Aerotolerant,-,-
uncultured Chitinivibrionia bacterium,Aerotolerant,-,-
uncultured Chloroflexi bacterium,Anaerobic,-,-
uncultured Chloroflexus sp.,Anaerobic,-,-
uncultured Clostridium sp.,Anaerobic,-,-
uncultured compost bacterium,Unknown,-,-
uncultured cyanobacterium,Aerotolerant,-,-
uncultured Cytophagales bacterium,Aerotolerant,-,-
uncultured deep-sea bacterium,Unknown,-,-
uncultured Dehalococcoidia bacterium,Anaerobic,-,-
uncultured delta proteobacterium,Unknown,-,-
uncultured Desulfocaldus sp.,Anaerobic,-,-
uncultured Desulfuromonadales bacterium,Anaerobic,-,-
uncultured endolithic bacterium,Unknown,-,-
uncultured Epsilonproteobacteria bacterium,Aerotolerant,-,-
uncultured Erysipelotrichaceae bacterium,Aerotolerant,-,-
uncultured Erysipelotrichia bacterium,Aerotolerant,-,-
uncultured Firmicutes bacterium,Unknown,-,-
uncultured Flavobacteriales bacterium,Aerotolerant,-,-
uncultured forest soil bacterium,Unknown,-,-
uncultured Frankineae bacterium,Aerotolerant,-,-
uncultured gamma proteobacterium,Unknown,-,-
uncultured Gemmatimonadetes bacterium,Aerotolerant,-,-
uncultured Holophaga sp.,Anaerobic,-,-
uncultured Holophagae bacterium,Anaerobic,-,-
uncultured Ignavibacterium sp.,Anaerobic,-,-
uncultured Litorilinea sp.,Aerotolerant,-,-
uncultured marine bacterium,Unknown,-,-
uncultured Microgenomates group bacterium,Unknown,-,-
uncultured microorganism,Unknown,-,-
uncultured Myxococcales bacterium,Aerotolerant,-,-
uncultured organism,Unknown,-,-
uncultured Phyllobacteriaceae bacterium,Aerotolerant,-,-
uncultured Planctomyces sp.,Aerotolerant,-,-
uncultured Planctomycetaceae bacterium,Unknown,-,-
uncultured Planctomycetales bacterium,Unknown,-,-
uncultured planctomycete,Unknown,-,-
uncultured prokaryote,Unknown,-,-
uncultured proteobacterium,Unknown,-,-
uncultured Rhizobiales bacterium,Unknown,-,-
uncultured Rhodocyclaceae bacterium,Aerotolerant,-,-
uncultured Rhodospirillaceae bacterium,Anaerobic,-,-
uncultured Rhodospirillales bacterium,Anaerobic,-,-
uncultured Roseobacter sp.,Aerotolerant,-,-
uncultured Rubrobacteraceae bacterium,Aerotolerant,-,-
uncultured Rubrobacterales bacterium,Aerotolerant,-,-
uncultured Rubrobacteria bacterium,Aerotolerant,-,-
uncultured rumen bacterium,Unknown,-,-
uncultured Saccharibacillus sp.,Aerotolerant,-,-
uncultured sludge bacterium,Unknown,-,-
uncultured sludge bacterium H5,Unknown,-,-
uncultured sludge bacterium S14,Unknown,-,-
uncultured soil bacterium,Unknown,-,-
uncultured Solirubrobacter sp.,Aerotolerant,-,-
uncultured Sphaerobacter sp.,Aerotolerant,-,-
uncultured Sphingobium sp.,Aerotolerant,-,-
uncultured Stella sp.,Unknown,-,-
uncultured Syntrophobacteraceae bacterium,Anaerobic,-,-
uncultured Syntrophobacterales bacterium,Anaerobic,-,-
uncultured Telmatobacter sp.,Anaerobic,-,-
uncultured Thermomicrobia bacterium,Unknown,-,-
uncultured verrucomicrobium DEV059,Unknown,-,-
uncultured Xanthobacteraceae bacterium,Aerotolerant,-,-
unidentified,Unassigned,-,-
Urania-1B-19 marine sediment group,Unknown,-,-
Uruburuella,Aerotolerant,-,-
Vagococcus,Aerotolerant,Correct,-
Variibacter,Aerotolerant,-,-
Variovorax,Aerotolerant,-,Correct
Veillonella,Anaerobic,-,-
Verrucomicrobium,Aerotolerant,-,-
Verticia,Aerotolerant,-,-
Vibrio,Aerotolerant,-,-
Vicinamibacter,Aerotolerant,-,Correct
Victivallis,Aerotolerant,-,-
Virgibacillus,Aerotolerant,-,-
Virgisporangium,Aerotolerant,-,-
Vitellibacter,Aerotolerant,-,-
Vitreoscilla,Aerotolerant,-,Correct
Vulcaniibacterium,Aerotolerant,-,-
Vulgatibacter,Aerotolerant,-,-
wastewater metagenome,Unassigned,-,-
Weissella,Aerotolerant,Correct,-
Williamsia,Aerotolerant,Correct,-
Woeseia,Aerotolerant,-,-
Wohlfahrtiimonas,Aerotolerant,-,-
Wolbachia,Aerotolerant,-,-
Xanthobacter,Aerotolerant,-,-
Xanthomonas,Aerotolerant,-,Correct
Xenococcus CRM,Aerotolerant,-,-
Xenorhabdus,Aerotolerant,-,-
Xylella,Aerotolerant,-,-
Yangia,Aerotolerant,-,-
Zavarzinella,Aerotolerant,-,Correct
Zeaxanthinibacter,Aerotolerant,-,-
ZOR0006,Unknown,-,-
Zymobacter,Aerotolerant,-,-
